date,tank,temperature (°C),notes
4/6/2023,23,27.1,
4/6/2023,24,24.8,
7/6/2023,1,25.7,
7/6/2023,2,24.6,
7/6/2023,3,26.7,
7/6/2023,4,27.6,
7/6/2023,5,24.5,
7/6/2023,6,24.3,
7/6/2023,7,23.7,
7/6/2023,8,24.2,
7/6/2023,9,28.1,
7/6/2023,10,24.8,
7/6/2023,11,24.5,
7/6/2023,12,27.7,
7/6/2023,13,24.5,
7/6/2023,14,23.3,
7/6/2023,15,27.7,
7/6/2023,16,24.7,
7/6/2023,17,27.1,
7/6/2023,18,26.6,
7/6/2023,19,27.5,
7/6/2023,20,24.3,
7/6/2023,21,25.9,
7/6/2023,22,24.5,
7/6/2023,23,26.5,
7/6/2023,24,24,
